date,close
2013/7/1,2672.55 
2013/7/2,2708.38 
2013/7/3,2705.31 
2013/7/4,2727.61 
2013/7/5,2723.14 
2013/7/8,2634.27 
2013/7/9,2636.64 
2013/7/10,2717.95 
2013/7/11,2809.44 
2013/7/12,2771.00 
2013/7/15,2826.55 
2013/7/16,2851.51 
2013/7/17,2804.91 
2013/7/18,2774.90 
2013/7/19,2702.80 
2013/7/22,2736.23 
2013/7/23,2820.10 
2013/7/24,2827.95 
2013/7/25,2789.18 
2013/7/26,2778.59 
2013/7/29,2718.24 
2013/7/30,2716.92 
2013/7/31,2726.73 
2013/8/1,2805.57 
2013/8/2,2811.44 
2013/8/5,2854.31 
2013/8/6,2886.44 
2013/8/7,2860.14 
2013/8/8,2868.40 
2013/8/9,2874.96 
2013/8/12,2931.29 
2013/8/13,2939.74 
2013/8/14,2928.66 
2013/8/15,2887.82 
2013/8/16,2840.87 
2013/8/19,2882.68 
2013/8/20,2866.52 
2013/8/21,2870.94 
2013/8/22,2874.23 
2013/8/23,2863.80 
2013/8/26,2918.30 
2013/8/27,2928.20 
2013/8/28,2891.97 
2013/8/29,2880.28 
2013/8/30,2850.71 
2013/9/2,2878.92 
2013/9/3,2926.19 
2013/9/4,2920.69 
2013/9/5,2919.29 
2013/9/6,2928.36 
2013/9/9,2970.74 
2013/9/10,2991.28 
2013/9/11,2981.19 
2013/9/12,2985.70 
2013/9/13,2997.30 
2013/9/16,2996.09 
2013/9/17,2946.55 
2013/9/18,2957.19 
2013/9/23,3026.37 
2013/9/24,3013.72 
2013/9/25,2996.74 
2013/9/26,2946.18 
2013/9/27,2960.66 
2013/9/30,2988.28 
2013/10/8,3042.91 
2013/10/9,3057.98 
2013/10/10,3042.40 
2013/10/11,3071.84 
2013/10/14,3094.24 
2013/10/15,3088.26 
2013/10/16,3013.96 
2013/10/17,3012.78 
2013/10/18,3034.23 
2013/10/21,3100.35 
2013/10/22,3062.32 
2013/10/23,3005.17 
2013/10/24,2988.28 
2013/10/25,2934.82 
2013/10/28,2923.36 
2013/10/29,2893.26 
2013/10/30,2938.77 
2013/10/31,2900.11 
2013/11/1,2895.37 
2013/11/4,2902.32 
2013/11/5,2929.99 
2013/11/6,2889.50 
2013/11/7,2861.57 
2013/11/8,2821.34 
2013/11/11,2829.98 
2013/11/12,2860.23 
2013/11/13,2804.45 
2013/11/14,2834.51 
2013/11/15,2883.86 
2013/11/18,2949.59 
2013/11/19,2945.36 
2013/11/20,2964.29 
2013/11/21,2950.89 
2013/11/22,2936.67 
2013/11/25,2925.16 
2013/11/26,2922.18 
2013/11/27,2958.22 
2013/11/28,2990.74 
2013/11/29,3000.42 
2013/12/2,2899.63 
2013/12/3,2949.04 
2013/12/4,2986.40 
2013/12/5,2973.82 
2013/12/6,2970.64 
2013/12/9,2987.84 
2013/12/10,2989.34 
2013/12/11,2956.48 
2013/12/12,2964.23 
2013/12/13,2971.76 
2013/12/16,2929.57 
2013/12/17,2909.44 
2013/12/18,2910.12 
2013/12/19,2887.37 
2013/12/20,2843.73 
2013/12/23,2842.50 
2013/12/24,2860.30 
2013/12/25,2888.49 
2013/12/26,2836.73 
2013/12/27,2883.53 
2013/12/30,2882.98 
2013/12/31,2908.65 
2014/1/2,2926.10 
2014/1/3,2910.56 
2014/1/6,2835.16 
2014/1/7,2843.40 
2014/1/8,2860.19 
2014/1/9,2825.63 
2014/1/10,2782.79 
2014/1/13,2765.34 
2014/1/14,2812.78 
2014/1/15,2824.90 
2014/1/16,2820.42 
2014/1/17,2783.16 
2014/1/20,2765.63 
2014/1/21,2801.13 
2014/1/22,2873.32 
2014/1/23,2881.16 
2014/1/24,2918.59 
2014/1/27,2892.96 
2014/1/28,2885.10 
2014/1/29,2898.08 
2014/1/30,2863.72 
2014/2/7,2900.08 
2014/2/10,2983.33 
2014/2/11,2981.83 
2014/2/12,3005.65 
2014/2/13,2964.82 
2014/2/14,2998.76 
2014/2/17,3039.05 
2014/2/18,3013.11 
2014/2/19,3027.11 
2014/2/20,2983.04 
2014/2/21,2964.05 
2014/2/24,2927.49 
2014/2/25,2825.73 
2014/2/26,2836.04 
2014/2/27,2781.81 
2014/2/28,2830.23 
2014/3/3,2864.19 
2014/3/4,2851.98 
2014/3/5,2835.70 
2014/3/6,2843.01 
2014/3/7,2832.39 
2014/3/10,2737.36 
2014/3/11,2750.89 
2014/3/12,2755.53 
2014/3/13,2790.92 
2014/3/14,2770.79 
2014/3/17,2819.78 
2014/3/18,2815.64 
2014/3/19,2785.77 
2014/3/20,2718.39 
2014/3/21,2781.36 
2014/3/24,2790.89 
2014/3/25,2788.21 
2014/3/26,2796.69 
2014/3/27,2750.00 
2014/3/28,2714.30 
2014/3/31,2709.87 
2014/4/1,2749.69 
2014/4/2,2755.77 
2014/4/3,2750.34 
2014/4/4,2781.04 
2014/4/8,2818.00 
2014/4/9,2833.48 
2014/4/10,2847.91 
2014/4/11,2841.58 
2014/4/14,2853.11 
2014/4/15,2819.28 
2014/4/16,2817.76 
2014/4/17,2817.30 
2014/4/18,2821.33 
2014/4/21,2779.76 
2014/4/22,2771.06 
2014/4/23,2770.96 
2014/4/24,2754.78 
2014/4/25,2706.31 
2014/4/28,2647.35 
2014/4/29,2682.69 
2014/4/30,2689.95 
2014/5/5,2704.26 
2014/5/6,2716.35 
2014/5/7,2679.10 
2014/5/8,2666.27 
2014/5/9,2653.52 
2014/5/12,2713.62 
2014/5/13,2708.89 
2014/5/14,2712.67 
2014/5/15,2662.53 
2014/5/16,2658.11 
2014/5/19,2637.94 
2014/5/20,2642.78 
